index;original_name;repository;path_or_external_link;source_commit;source_type;date_or_period;file_type;sha256;beweis_id;bk_index;description;status;next_check
MAP-00;00_Deckblatt.md;diewand-hue/Nachweise;00_Deckblatt.md;ee28c11e01a21497fa7aa805367699f04e8dd185;Arbeitsdokument;20.09.2026;markdown;NICHT_ERFASST;--;--;Deckblatt der Dokumentenmappe;angelegt;Commitlink prüfen
MAP-01;01_Akten_und_Sachstandsuebersicht.md;diewand-hue/Nachweise;01_Akten_und_Sachstandsuebersicht.md;ee28c11e01a21497fa7aa805367699f04e8dd185;Arbeitsdokument;2014-2026;markdown;NICHT_ERFASST;--;--;Sachstandsübersicht;angelegt;Quellen ergänzen
MAP-02;02_Anschreiben_und_Pruefauftrag.md;diewand-hue/Nachweise;02_Anschreiben_und_Pruefauftrag.md;ee28c11e01a21497fa7aa805367699f04e8dd185;Entwurf;20.09.2026;markdown;NICHT_ERFASST;B-10;--;Anschreiben und Prüfbitten an Jobcenter;Entwurf;Aktenzeichen und Adresse ergänzen
MAP-03;03_Beweisverzeichnis_und_Register.md;diewand-hue/Nachweise;03_Beweisverzeichnis_und_Register.md;ee28c11e01a21497fa7aa805367699f04e8dd185;Register;2014-2026;markdown;NICHT_ERFASST;B-01-B-10;BK-1/BK-5;Beweisverzeichnis;angelegt;Originalseiten ergänzen
MAP-04;04_Technische_Fehlerkette.md;diewand-hue/Nachweise;04_Technische_Fehlerkette.md;ee28c11e01a21497fa7aa805367699f04e8dd185;Verweis;2014-2026;markdown;NICHT_ERFASST;B-02/B-04/B-05/B-06;BK-1;Verweis auf technische Fehlerkette;angelegt;Originalquellen prüfen
MAP-05;05_Fotos_und_Videos.md;diewand-hue/Nachweise;05_Fotos_und_Videos.md;ee28c11e01a21497fa7aa805367699f04e8dd185;Register;2024-2026;markdown;NICHT_ERFASST;B-02/B-04/B-06;MED;Medienregister;angelegt;Dateien und Prüfsummen erfassen
MAP-06;06_Nachweiszuordnung_nach_BK_Index.md;diewand-hue/Nachweise;06_Nachweiszuordnung_nach_BK_Index.md;ee28c11e01a21497fa7aa805367699f04e8dd185;Zuordnung;2009-2024;markdown;NICHT_ERFASST;B-05-B-10;BK-1/BK-5;Tabellenbezogene Zuordnung;angelegt;Originalabgleich
MAP-07;07_Schadensausgaben_BK_WW_Heizkosten.md;diewand-hue/Nachweise;07_Schadensausgaben_BK_WW_Heizkosten.md;ee28c11e01a21497fa7aa805367699f04e8dd185;Auswertung;2022-2024;markdown;NICHT_ERFASST;B-06/B-09;BK-1/BK-5;Salden- und Widerspruchsregister;Arbeitswerte;Originalabrechnungen prüfen
MAP-08;08_Rechnungen_und_Einzelbetraege.md;diewand-hue/Nachweise;08_Rechnungen_und_Einzelbetraege.md;ee28c11e01a21497fa7aa805367699f04e8dd185;Register;2014-2026;markdown;NICHT_ERFASST;B-03/B-09;BK-1;Einzelbetragsregister;angelegt;Belege ergänzen
MAP-09;09_Beweislogik_und_Kausalzusammenhang.md;diewand-hue/Nachweise;09_Beweislogik_und_Kausalzusammenhang.md;ee28c11e01a21497fa7aa805367699f04e8dd185;Verweis;2014-2026;markdown;NICHT_ERFASST;B-01-B-10;BK-1/BK-5;Übergeordnete Beweislogik;angelegt;Querverweise prüfen
MAP-10;10_Anlagenverzeichnis_mit_Direktlinks.md;diewand-hue/Nachweise;10_Anlagenverzeichnis_mit_Direktlinks.md;ee28c11e01a21497fa7aa805367699f04e8dd185;Register;20.09.2026;markdown;NICHT_ERFASST;--;--;Direktlinkregister;angelegt;Commitlinks festlegen
MAP-11;11_Abschluss_und_offene_Pruefpunkte.md;diewand-hue/Nachweise;11_Abschluss_und_offene_Pruefpunkte.md;ee28c11e01a21497fa7aa805367699f04e8dd185;Checkliste;20.09.2026;markdown;NICHT_ERFASST;--;--;Abschluss- und Abnahmekriterien;offen;Prüfpunkte abarbeiten
SRC-00;00_BEWEISLOGIK_GESAMTSTRUKTUR.md;diewand-hue/Nachweise;00_BEWEISLOGIK_GESAMTSTRUKTUR.md;6e0f2c68c5ae045a8b520ace45809c576382477d;Bestandsdokument;04.09.2026;markdown;NICHT_ERFASST;B-01-B-10;BK-1/BK-5;Übergeordnete Beweislogik;vorhanden;inhaltliche Quellenprüfung
SRC-01;01_TECHNISCHE_FEHLERKETTE.md;diewand-hue/Nachweise;01_TECHNISCHE_FEHLERKETTE.md;6e0f2c68c5ae045a8b520ace45809c576382477d;Bestandsdokument;04.09.2026;markdown;NICHT_ERFASST;B-02/B-04/B-05/B-06;BK-1;Technische Fehlerkette;vorhanden;Quellenprüfung
SRC-02;02_BEWEISDOKUMENTATION_JOBCENTER_VERURSACHUNG.md;diewand-hue/Nachweise;02_BEWEISDOKUMENTATION_JOBCENTER_VERURSACHUNG.md;6e0f2c68c5ae045a8b520ace45809c576382477d;Bestandsdokument;13.09.2026;markdown;NICHT_ERFASST;B-01-B-10;BK-1/BK-5;Jobcenter-Dokumentation;vorhanden;rechtliche Quellenprüfung
SRC-03;beweislogik_jobcenter_zuordnung.md;diewand-hue/Nachweise;beweislogik_jobcenter_zuordnung.md;6e0f2c68c5ae045a8b520ace45809c576382477d;Bestandsdokument;20.09.2026;markdown;NICHT_ERFASST;B-01-B-10;BK-1/BK-5;Zuordnungslogik;vorhanden;Quellenregister ergänzen
SRC-04;1aSchadensAusgaben(BK_WW_Heizkosten (2)).csv;diewand-hue/Nachweise;noch nicht im sichtbaren Repository-Inventar;6e0f2c68c5ae045a8b520ace45809c576382477d;Nutzerangabe;2009-2024;csv;NICHT_ERFASST;B-05-B-10;BK-1/BK-5;Kosten- und Saldenregister;extern/zu prüfen;Dateipfad und Prüfsumme bestätigen
SRC-05;zeitleiste-der-ereignisse-ab-2017-vervollstandigen.rtf;diewand-hue/Nachweise;noch nicht im sichtbaren Repository-Inventar;6e0f2c68c5ae045a8b520ace45809c576382477d;Nutzerangabe;2017-2026;rtf;NICHT_ERFASST;B-01-B-04;--;Chronologie;extern/zu prüfen;Originaldatei hochladen
SRC-06;Fotos;diewand-hue/Nachweise-;https://github.com/diewand-hue/Nachweise-/tree/main/Fotos;unbestimmt;Primärarchiv;2024-2026;media;NICHT_ERFASST;B-02/B-04/B-06;MED;Fotoarchiv;extern;Dateiliste und SHA-256 erfassen
SRC-07;Videos;diewand-hue/Nachweise-;https://github.com/diewand-hue/Nachweise-/tree/main/Videos;unbestimmt;Primärarchiv;2024-2026;media;NICHT_ERFASST;B-02/B-04/B-06;MED;Videoarchiv;extern;Dateiliste und SHA-256 erfassen
