Datei;Beweis-ID;BK-Index;Beweisfrage;Quelle;Prüfstatus;Offene Gegenprüfung
00_BEWEISLOGIK_GESAMTSTRUKTUR.md;B-01–B-10;BK-1/BK-5;Wie werden technische, abrechnungsbezogene und behördliche Prüfungen getrennt?;Repository-Datei, Commit 6e0f2c68c5ae045a8b520ace45809c576382477d;Arbeitsgrundlage vorhanden;Jede starke Aussage mit Originalseite oder Aktenstelle abgleichen
01_TECHNISCHE_FEHLERKETTE.md;B-02/B-04/B-05/B-06;BK-1-2014–BK-1-2024;Welche technischen Beobachtungen und Messabweichungen sind dokumentiert?;Repository-Datei, Commit 6e0f2c68c5ae045a8b520ace45809c576382477d;Auswertung vorhanden, Ursache offen;Originalprotokolle, Geräte-IDs, Wartungs-/Eichunterlagen und Sachverständigenprüfung
02_BEWEISDOKUMENTATION_JOBCENTER_VERURSACHUNG.md;B-01–B-10;BK-1/BK-5;Welche Kosten, Meldungen und Prüfaufträge werden dem Jobcenter vorgelegt?;Repository-Datei, Commit 6e0f2c68c5ae045a8b520ace45809c576382477d;Arbeitsdokument;Bescheide, Berechnungsblätter, Verwaltungsakte und Prüfvermerke
02_VERWALTUNGSVERANTWORTUNG.md;B-01/B-04/B-05/B-06/B-10;BK-1/BK-5;Welche Stelle hatte welche technische, administrative oder behördliche Rolle?;Repository-Datei, Commit 34835422282f72e5f983b299c5c68f492b66dcbe;Neutrale Rollenmatrix angelegt;Aufträge, Übergaben, Arbeitsberichte, Abnahmen und Kenntniszeitpunkte
beweislogik_jobcenter_zuordnung.md;B-01–B-10;BK-1/BK-5;Welche Tatsache ist mit welchem Beleg und welcher Gegenprüfung verknüpft?;Repository-Datei, Commit 22a61adb39c159072d5f24a262037ea4613a733a;Zuordnungslogik vorhanden;Originaldateien, Seiten-/Zeitstempel und SHA-256 ergänzen
1aSchadensAusgaben(BK_WW_Heizkosten (2)).csv;B-05–B-10;BK-1/BK-5;Wie lauten Jahreswerte, Salden, Vorauszahlungen und Differenzen?;Nutzerbereitgestellte CSV, Primäranlage BK-1 laut Tabellenangabe;Tabellen-Arbeitsquelle;Gegen 87-seitige Primäranlage, Einzelabrechnungen und Mietkonto abgleichen
zeitleiste-der-ereignisse-ab-2017-vervollstandigen.rtf;B-01–B-04/B-10;--;Welche Ereignisse, Meldungen, Reparaturzusagen und Verfahrensschritte sind dokumentiert?;Nutzerbereitgestellte RTF;Chronologie-Arbeitsquelle;Original-E-Mails, Anlagen, Zustellnachweise und Nachrichtenköpfe
Betriebskosten_2009_2024k.pdf;B-05–B-09;BK-1-2009–BK-1-2024;Welche Originalwerte und Kostenpositionen stehen in der Primärreihe?;Primäranlage BK-1, laut CSV 87 Seiten;Als Primärquelle bezeichnet, Datei im Repository nicht auffindbar;PDF hochladen, Seiten und SHA-256 erfassen
Beweisanalyse Az 25c612 25.docx;B-05–B-09;BK-1;Welche Jahreswerte und Vergleichsdaten wurden aus BK-1 extrahiert?;Nutzer-/Aktenangabe;Auswertung, nicht Ersatz des Originals;Jede Extraktion gegen PDF-Seite und Rechenformel prüfen
Einreichungsmappe Az 25c612 25.docx;B-07–B-10;BK-1/BK-5;Welche Kosten-, Vorauszahlungs- und Prüfwerte wurden zusammengefasst?;Nutzer-/Aktenangabe;Zusammenfassung, nicht verifiziert;Originalabrechnungen, Mietkonto, Bescheide und aktuelle Verfahrensdaten
